,brand,name,price,n_of_reviews,n_of_loves,review_score,size,clean_product,category
58,HUM Nutrition,Moody Bird™ PMS Support Supplement,25.00,42,6342,4.404800000000001,60 Capsules•,0,Beauty Supplements
59,HUM Nutrition,Cleanse to the Rescue 21 Day Detox Kit,42.00,53,9266,3.7170000000000005,21 Day Cleanse•,0,Beauty Supplements
60,REN Clean Skincare,And Now to Sleep Pillow Spray,25.00,70,6661,4.3286,2.5 oz,1,None
61,Golde,Matcha Golde,29.00,4,244,5.0,4.2 oz,0,Beauty Supplements
62,Perricone MD,Super Greens Dietary Supplement,80.00,30,3706,4.5,5.8 oz,0,None
63,Moon Juice,Beauty Dust®,38.00,74,9123,4.2432,1.5 oz,0,None
64,WelleCo,The Nourishing Protein,70.00,3,694,4.6667,10.5 oz,0,Beauty Supplements
65,HUM Nutrition,Raw Beauty Skin & Energy Superfood Powder - Vanilla Berry,39.00,55,5536,4.2364,8.5 oz,0,None
66,Kopari,Coconut Toothpaste,12.00,11,2390,4.2727,3.4 oz,1,None
67,Moon Juice,Full Moon Dust® Box,35.00,70,8180,3.8429,12 x 1.3 oz,0,None
68,HUM Nutrition,Here Comes The Sun Vitamin D Supplement,20.00,28,6643,4.5357,120 Softgels•,0,None
69,Moon Juice,Brain Dust®,38.00,37,4182,4.3243,1.5 oz,0,None
70,Moon Juice,Beauty Shroom™ Vegan Collagen Protection,58.00,7,2476,3.8571,8.5 oz,0,None
71,HUM Nutrition,Killer Nails™ Supplements,20.00,45,6316,4.4222,60 Capsules•,0,None
72,HUM Nutrition,Collagen POP + Vitamin C Dissolvable Tablets,12.00,106,4663,3.3491,10 tablets•,0,Beauty Supplements
73,KORA Organics,Noni Glow Skinfood Dietary Supplement Powder,55.00,62,4903,3.629,30 x 6 g single serve packets•,0,Beauty Supplements
74,Kopari,Coconut Oil Pullers,28.00,14,3883,3.7857000000000003,14 x 0.33 oz,1,Holistic Wellness
75,Perricone MD,Health & Weight Management Dietary Supplements,210.00,29,1481,4.3103,90 Packets•,0,None
76,Golde,Cacao Golde,29.00,4,238,5.0,4.2 oz,0,None
77,Golde,Original Golde,29.00,6,374,5.0,4.2 oz,0,Beauty Supplements
78,Ouai,Hair Supplement for Dry Hair,28.00,6,1269,3.6667000000000005,30 Softgel Capsules•,0,Beauty Supplements
79,Moon Juice,Blue Beauty Adaptogenic Protein,50.00,44,2634,4.7727,16 oz,0,Beauty Supplements
80,Perricone MD,The Essential Multivitamin+,50.00,7,892,4.2857,60 Capsules•,0,Beauty Supplements
81,HUM Nutrition,Turn Back Time Turmeric Supplement,40.00,16,4500,4.1875,60 Vegetarian Capsules•,0,None
82,Moon Juice,Ashwagandha,38.00,0,414,0.0,3.5 oz,1,Beauty Supplements
83,Perricone MD,Metabolism Booster,55.00,8,1585,3.5,60 Capsules•,0,Beauty Supplements
84,Perricone MD,Skin Clear Dietary Supplements,95.00,81,2858,3.9136000000000006,30 Packets•,0,None
85,Moon Juice,Cosmic Cocoa,30.00,2,1062,5.0,5 oz,1,None
86,Nurse Jamie,Uplift Body Sonic Massaging Beauty Roller,159.00,0,671,0.0,None,0,Tools
87,HUM Nutrition,Flawless + Fearless Breakout Control Kit,29.00,19,5990,3.6842000000000006,14 daily packs x 4 pills each•,0,None
88,Moon Juice,Dream Dust®,38.00,18,2166,4.1111,1.5 oz,0,Beauty Supplements
89,Four Sigmatic,Mushroom Sampler Mix,20.00,40,1999,4.625,None,0,Beauty Supplements
